,all,site,treat,Date,day,pH,Water (%),TC (%),SOC (%),TN (%),NH4-N (mg/kg),NO3-N (mg/kg),AP (mg/kg),AK (g/kg),SCF
CBC512,CBC,C,BC,512,78,5.2,5.189582535,3.415944461,2.293198601,0.129304373,5.90442147,24.06445961,7.9,0.1182,7.006540616
CBC602,CBC,C,BC,602,99,7,6.814516129,2.333405832,3.531852575,0.076793094,0.847697005,35.55669744,10.8,0.1931,1.804229538
CBC613,CBC,C,BC,613,110,7,2.350119904,2.324063238,1.672373647,0.092833198,2.54307072,5.081867372,12.2,0.2054,4.034220219
CCK317,CCK,C,CK,317,22,7,6.791406791,3.926,2.023897642,0.166,0.98477305,5.019433942,10.5,0.1798,0.339265585
CCK411,CCK,C,CK,411,47,7,7.877813505,4.242,2.322709163,0.198,0.487709067,9.952162248,12.1,0.1605,0.472910404
CCK428,CCK,C,CK,428,64,6.8,6.3878327,3.232,1.507698501,0.159,1.12899433,9.199716851,7,0.1403,1.325217326
CCK512,CCK,C,CK,512,78,7,4.817073171,3.859467965,2.081104199,0.202586419,2.865296139,9.228072803,8.3,0.1271,7.954134464
CCK602,CCK,C,CK,602,99,7,4.151404151,2.873736813,2.280112045,0.141921155,0.962015055,15.26577881,18.2,0.2666,1.813480894
CCK613,CCK,C,CK,613,110,7,3.432609793,2.611012866,2.02501046,0.120204906,1.713914535,2.033305433,12.8,0.1536,5.816680908
CCK228,CCK,C,CK,228,0,6.8,7.277486911,2.542,1.541345249,0.137,0.636435445,9.423191471,16.3,0.2368,NA
HB228,HB,H,B,228,0,7.2,11.02890173,1.833,1.054761248,0.104,0.423226308,10.35029401,20.4,0.2097,NA
HB317,HB,H,B,317,22,7,14.87450462,3.734,2.81925748,0.116,7.136674514,8.785160099,25,0.2296,0.664941966
HB411,HB,H,B,411,47,6.4,13.66885051,3.162,2.715555556,0.147,0.671039029,9.299970441,25.9,0.2397,1.580203652
HB428,HB,H,B,428,64,6.8,14.49875725,4.087,2.47118121,0.142,0.987784243,4.860083974,32.2,0.2606,2.23731331
HB512,HB,H,B,512,78,6.4,9.219562955,3.340221048,2.442267206,0.095146564,2.376771232,6.44622456,19.1,0.2042,4.220914841
HB602,HB,H,B,602,99,7,10.41134092,2.522416002,2.784451204,0.071928269,0.377908515,6.613399009,30.1,0.2719,3.819257895
HB613,HB,H,B,613,110,6.4,4.260299625,1.927802349,1.652723589,0.049870368,0.870415648,3.664907991,31.1,0.2206,4.086789926
HC228,HC,H,C,228,0,7.2,11.02890173,1.833,1.054761248,0.104,0.423226308,10.35029401,20.4,0.2097,NA
HC317,HC,H,C,317,22,6.4,15.94270956,3.068,1.957211618,0.182,1.800280488,5.455096491,26.9,0.2925,0.664941966
HC411,HC,H,C,411,47,6.2,12.87396563,2.243,1.438898451,0.133,0.705514113,6.278602107,16.5,0.2128,5.294089158
HC428,HC,H,C,428,64,7,14.58684654,2.967,1.215789474,0.121,2.607516992,4.987881869,14.3,0.2491,4.620697816
HC512,HC,H,C,512,78,6.8,9.765710532,2.617740839,1.389038522,0.123882703,2.78227531,8.267198521,12.1,0.1974,7.831389745
HC602,HC,H,C,602,99,7,9.025616471,1.640844962,1.69107772,0.139391049,0.536866068,9.982069101,28.4,0.2965,5.176412582
HC613,HC,H,C,613,110,7,8.407079646,1.21677072,0.851262131,0.055558738,1.637183535,3.980993399,31.9,0.1615,4.915342649
HBC228,HBC,H,BC,228,0,7.2,11.02890173,1.833,1.054761248,0.104,0.423226308,10.35029401,20.4,0.2097,NA
HBC317,HBC,H,BC,317,22,7,16.47373108,4.342,2.595667645,0.139,1.853092221,2.867522109,10.7,0.1967,0.664941966
HBC411,HBC,H,BC,411,47,6.4,12.83940223,3.283,2.548571429,0.142,0.732751017,3.739037722,14.9,0.1627,3.672341665
HBC428,HBC,H,BC,428,64,7.4,14.90987461,2.732,1.792155548,0.12,1.66846424,2.49748241,10.6,0.1919,3.593563318
HBC512,HBC,H,BC,512,78,6.8,10.22978347,2.613233621,1.37462069,0.09803284,4.180792942,10.85344923,11.7,0.1413,9.305730184
HBC602,HBC,H,BC,602,99,7,10.3286385,1.800525607,1.719846069,0.074995193,1.903547396,45.66775351,10,0.1682,7.398485343
HBC613,HBC,H,BC,613,110,5.6,7.604373757,1.762570372,1.481877997,0.055975551,0.853646895,4.064985213,14.4,0.1281,6.22804594
HCK317,HCK,H,CK,317,22,6.6,15.59367342,2.136,0.925563223,0.081,0.438794561,1.389516111,7.4,0.1435,0.664941966
HCK411,HCK,H,CK,411,47,6.8,13.4351145,2.044,0.96442577,0.096,0.66098753,6.477677795,8.7,0.1256,1.880025109
HCK428,HCK,H,CK,428,64,7,14.18867925,2.102,1.00200826,0.123,3.177809255,8.15923998,9.8,0.1556,3.055004994
HCK512,HCK,H,CK,512,78,5.8,10.12631579,2.057010024,0.728711485,0.069242944,3.581478314,7.696154242,3.6,0.1114,5.27583917
HCK602,HCK,H,CK,602,99,6.8,8.796740173,1.126265541,0.769004095,0.068719509,0.383571105,3.60182623,6,0.1354,4.735525926
HCK613,HCK,H,CK,613,110,6.8,10.94412331,1.10317935,0.741606124,0.04107972,1.641071181,3.978354379,9.8,0.1351,3.168981671
HCK228,HCK,H,CK,228,0,7.2,11.02890173,1.833,1.054761248,0.104,0.423226308,10.35029401,20.4,0.2097,NA
