,B,C,PB228,PB317,PB411,PB428,PB512,PB602,PB613,CB228,CB317,CB411,CB428,CB512,CB602,CB613,HB228,HB317,HB411,HB428,HB512,HB602,HB613,PC228,PC317,PC411,PC428,PC512,PC602,PC613,CC228,CC317,CC411,CC428,CC512,CC602,CC613,HC228,HC317,HC411,HC428,HC512,HC602,HC613,PBC228,PBC317,PBC411,PBC428,PBC512,PBC602,PBC613,CBC228,CBC317,CBC411,CBC428,CBC512,CBC602,CBC613,HBC228,HBC317,HBC411,HBC428,HBC512,HBC602,HBC613,PCK317,PCK411,PCK428,PCK512,PCK602,PCK613,PCK228,CCK317,CCK411,CCK428,CCK512,CCK602,CCK613,CCK228,HCK317,HCK411,HCK428,HCK512,HCK602,HCK613,HCK228,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu30,0,0,0,48,0,0,0,595,0,35,493,60,195,745,144,161,0,0,0,0,0,11,0,0,0,0,0,0,0,0,35,3330,5987,1183,9306,478,1236,0,0,0,0,0,0,0,0,130,43,0,0,0,0,35,378,580,148,85,58,306,0,0,1,0,0,0,2,0,0,0,0,0,0,0,533,751,975,143,156,103,35,0,4,0,0,0,0,0,k__Fungi,,,,,,
Zotu211,0,0,0,0,0,0,0,0,0,8,15,14,5,8,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,11,49,3,8,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,8,4468,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,16,2,17,41,8,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu88,0,0,0,0,0,0,0,0,196,0,5,153,12,37,8,66,2361,82,106,283,197,405,0,0,0,0,0,0,0,146,0,20,16,45,22,12,50,2361,64,7,67,124,564,0,0,0,0,0,0,0,49,0,12,4,35,11,18,65,2361,7,21,259,9,22,0,2,0,0,0,0,120,0,5,0,5,8,19,4,0,140,38,80,71,30,0,2361,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu559,0,0,0,0,0,0,0,0,0,0,69,59,30,30,548,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,253,4,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,6,7,4,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu20,0,0,0,0,0,0,6,0,0,114,1066,657,695,1927,1802,409,0,0,3916,0,0,15,0,0,0,379,0,0,0,0,114,107,246,1546,768,1293,4505,0,0,0,0,0,38,0,0,6,11,0,1,0,0,114,338,343,3179,1099,4542,1333,0,0,0,0,0,0,0,29,0,17,5,0,0,0,181,517,609,1281,3889,1312,114,0,7,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu915,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,7,0,0,0,4,0,0,0,0,6,0,0,1,0,0,0,10,29,0,11,4,1,0,0,7,6,3,1,0,0,0,0,11,5,0,49,0,0,0,0,0,0,0,0,9,5,5,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_sp
Zotu451,0,0,0,0,0,0,0,0,0,151,27,15,32,19,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,7,7,8,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,17,3,26,26,197,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,4,31,104,21,151,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu2624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,
Zotu2190,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_sp
Zotu1646,0,0,0,3,0,0,0,0,0,20,5,0,1,7,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,22,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20,3,0,0,1,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,1,12,20,0,4,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Wojnowiciella,s__Wojnowiciella_sp
Zotu137,0,0,0,0,0,0,0,0,0,0,10,20,19,100,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,180,2,31,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,80,263,238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,109,0,142,439,19,0,0,2,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu835,0,0,0,0,0,0,0,0,0,0,0,0,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,5,0,0,0,0,5,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaeta,s__Pyrenochaeta_sp
Zotu3598,0,0,0,0,0,0,0,0,0,2,4,0,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,4,0,0,1,3,0,0,1,0,0,0,0,0,2,7,0,0,0,2,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,3,0,0,2,0,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu236,0,0,0,0,0,0,0,0,0,11,223,234,669,20,141,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,3,18,198,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,82,12,119,97,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,182,6,304,186,4,11,0,0,13,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu363,0,0,0,0,0,0,0,0,0,371,99,0,90,61,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,43,45,8,35,53,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,45,169,22,14,77,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,26,60,89,122,7,371,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu321,0,0,0,5,0,11,0,1,0,13,9,42,6,7,5,11,0,0,2,0,18,11,10,0,5,0,0,2,1,0,13,15,39,46,33,41,36,0,0,26,1,7,3,0,0,6,0,0,0,0,3,13,39,6,17,18,19,19,0,0,1,1,0,9,0,7,0,0,0,3,0,0,59,15,108,36,12,74,13,6,0,3,0,4,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu237,0,0,0,0,0,0,0,0,0,11,11,67,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,62,0,38,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,224,179,234,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,10,15,0,0,11,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_sp
Zotu1542,0,0,0,0,0,0,0,0,0,0,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,12,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,5,0,2,30,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu252,0,0,0,0,0,0,0,0,0,415,3,2,37,3,1,650,0,0,10,0,1,0,0,0,0,0,0,0,0,0,415,2,1,1,53,8,110,0,36,0,21,5,234,0,0,0,0,0,0,0,58,415,0,3,4,14,103,17,0,6,1,67,3,3,0,0,0,2,5,0,6,0,6,24,24,35,37,118,415,270,1,4,182,42,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Articulospora,s__Articulospora_sp
Zotu2619,0,0,0,0,0,0,0,0,0,0,1,0,12,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu97,0,0,0,0,0,0,0,0,1,50,51,78,43,33,23,74,4,1,1,0,7,1,0,0,0,0,0,0,0,12479,50,139,75,830,26,16,80,4,4,14,411,36,226,0,0,0,0,0,0,0,0,50,86,17,228,15,28,18,4,0,0,0,0,4,0,0,0,0,0,0,0,0,126,35,728,20,172,161,50,0,0,0,0,3,0,4,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,s__Ascobolus_sp
Zotu285,0,0,0,0,0,0,0,0,0,0,31,12,21,93,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,215,111,184,54,36,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,373,477,113,198,31,37,0,0,0,0,0,0,0,0,0,28,0,0,0,0,240,109,97,225,65,17,0,0,12,0,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu175,0,0,0,0,0,0,0,0,0,1,3,2,2,9,0,5,9,4,1,0,0,0,0,0,0,0,0,0,0,48,1,149,358,7002,280,128,179,9,14,3,21,9,30,0,0,0,0,0,0,0,37,1,2,2,4,12,5,3,9,0,12,0,0,0,0,0,0,0,0,0,102,0,0,0,6,18,0,20,1,0,0,10,0,0,0,9,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_sp
Zotu544,0,0,0,5,0,11,6,31,0,0,0,0,1,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,103,11,99,25,53,65,0,0,0,0,0,0,23,0,1,2,5,0,1,0,0,17,25,56,137,71,121,0,0,0,0,0,0,4,4,1,0,0,0,0,0,28,24,6,61,44,8,0,0,0,0,3,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Wojnowiciella,s__Wojnowiciella_sp
Zotu507,0,0,0,9,0,0,0,0,0,8,8,28,16,7,30,26,3,1,0,0,0,1,0,0,0,0,0,0,0,4,8,29,3,6,3,4,8,3,4,2,0,67,1,32,0,0,0,0,5,1,18,8,8,5,14,12,20,22,3,2,0,4,0,0,1,1,0,0,0,0,219,0,30,24,9,6,42,4,8,8,44,6,2,6,0,3,k__Fungi,,,,,,
Zotu2129,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,64,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu798,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,k__Fungi,,,,,,
Zotu1254,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,66,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,5,23,89,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu3786,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu4303,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu318,0,0,0,0,0,0,0,0,0,16,56,36,11,41,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,9,2684,17,15,34,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,19,1,4,4,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,35,9,8,0,16,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_sp
Zotu45,0,0,0,0,0,0,2,0,702,0,4,0,0,3,3,0,22,23,11,47,28,41,0,0,6,0,8,0,4,157,0,0,0,2,2,0,4,22,0,134,56,132,630,20,0,0,0,7,16,4,24,0,0,0,1,0,0,4,22,59,7,20,52,7,10,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,1,0,0,22,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu385,0,0,0,2,0,0,0,0,0,0,4,1,1,2,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,142,91,45,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,679,15,240,37,92,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,9,17,46,155,4,0,0,5,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,
Zotu1845,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu294,0,0,0,0,0,0,0,0,0,29,9,7,3,16,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,7,32,17,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,103,287,1177,114,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,38,49,7,67,5,29,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu8110,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_sp
Zotu5428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu2233,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu458,0,0,0,2,0,3,3,0,10,0,5,0,0,0,0,6,8,1,0,4,1,6,0,0,0,0,5,0,0,9,0,97,16,14,7,16,36,8,12,6,1,0,0,0,0,0,0,1,1,0,0,0,26,10,18,95,13,74,8,0,2,0,0,9,0,0,3,0,0,0,116,0,91,10,122,313,59,111,0,60,12,17,100,78,13,8,k__Fungi,,,,,,
Zotu1245,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,1,0,12,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu143,0,0,0,0,0,0,0,0,0,17,59,41,51,20,201,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,83,11,14,77,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41,22,98,50,6540,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,26,23,1062,7,17,0,0,9,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu2679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu8790,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,2,0,1,0,0,0,k__Fungi,,,,,,
Zotu3358,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu1963,0,0,0,0,0,0,0,0,0,1,1,0,1,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,9,0,0,5,2,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,6,3,1,0,1,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu1852,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,53,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu80,0,0,0,0,0,0,0,0,0,24,1,0,59,133,1036,164,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,10,9,93,7,4,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,1,1,3,22,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,8,8,49,19,24,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp
Zotu3935,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_sp
Zotu111,0,0,0,0,0,0,0,0,0,0,0,0,46,61,47,125,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,14,0,393,1546,944,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,125,283,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9,409,8,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu661,0,0,0,0,0,0,0,0,26,0,1,4,4,3,2,0,5,4,1,9,33,2,0,0,7,1,0,0,0,4,0,5,1,5,11,0,6,5,8,6,1,0,1,0,0,1,0,0,0,0,0,0,11,10,3,4,1,0,5,7,2,16,0,4,2,0,1,3,0,0,0,0,12,43,6,19,9,4,0,2,5,3,16,1,0,5,k__Fungi,,,,,,
Zotu356,0,0,0,0,0,0,0,0,0,64,8,4,13,20,19,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8,6,7,17,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,10,3,29,15,762,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,11,9,33,6,64,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu5784,0,0,0,0,0,0,0,0,0,57,7,0,5,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6,4,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7,47,4,7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,6,7,13,2,57,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu466,0,0,0,0,0,0,0,0,0,0,8,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,21,150,1,0,0,0,5,0,0,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_sp
Zotu136,0,0,0,0,0,0,0,0,0,0,0,39,38,23,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,649,1971,11,1308,1337,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,29,191,63,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,979,73,3,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_sp
Zotu3980,0,0,0,0,0,0,7,0,0,3,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu893,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,10,0,11,1,20,0,0,0,0,0,0,0,0,0,3,0,0,14,9,0,0,6,3,0,1,0,47,0,0,0,0,6,0,0,0,0,0,0,2,0,8,0,38,1,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
Zotu1435,0,0,0,2,0,0,0,0,0,1,0,2,7,5,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,10,1,1,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Wojnowiciella,s__Wojnowiciella_sp
Zotu482,0,0,0,0,0,0,0,0,0,2,12,12,13,31,15,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,52,13,19,8,4,4,0,0,0,0,0,0,0,0,136,0,0,0,0,0,2,15,11,13,38,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,6,20,9,4,2,0,0,0,1,0,0,0,k__Fungi,,,,,,
Zotu4225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu194,0,0,0,3,0,0,0,0,34,6,18,33,12,77,7,3,120,149,52,137,171,83,9,0,11,0,0,2,0,85,6,40,14,52,6,13,63,120,28,73,38,64,121,0,0,9,0,9,14,2,53,6,32,4,10,18,14,24,120,53,47,141,255,82,3,0,3,0,0,45,277,0,63,30,173,31,24,44,6,28,141,46,142,340,0,120,k__Fungi,,,,,,
Zotu2203,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,91,233,91,13,207,0,0,0,6,20,0,0,0,0,0,0,0,0,0,1,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,184,1,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,,,,
